baseline a50g0s30: dist=0.09974882257318463
baseline a60g0s30: dist=0.022206313969497238
nobundling a20g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nobundling a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
nobundling a40g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nobundling a50g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.6, 0.5, 5.0, 1.0]
nobundling a60g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.7, 0.6, 5.0, 1.0]
nobundling a70g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nobundling a80g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nobundling a90g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nobundling a100g0s100: state=[2, 2, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
datasharing a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
datasharing a10g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.2, 2.5, 1.0]
datasharing a20g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.3, 2.5, 1.0]
datasharing a30g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.4, 2.5, 1.0]
datasharing a40g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.6, 2.5, 1.0]
datasharing a50g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.7, 2.5, 1.0]
datasharing a60g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.8, 2.5, 1.0]
datasharing a70g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.9, 2.5, 1.0]
datasharing a80g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.9, 2.5, 1.0]
datasharing a90g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 1.0, 2.5, 1.0]
datasharing a100g0s80: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 1.0, 2.5, 1.0]
datasharing a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
datasharing a10g0s90: dist=0.22205534731739873
datasharing a20g0s90: state=[4, 4, 1, 0, 1, 0],  prices=[-0.2, -0.5, 25.0, 1.0]
datasharing a30g0s90: dist=0.2572166644327627
datasharing a40g0s90: state=[4, 4, 1, 0, 1, 0],  prices=[0.1, -0.3, 25.0, 1.0]
datasharing a50g0s90: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.7, 2.5, 1.0]
datasharing a60g0s90: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.8, 2.5, 1.0]
datasharing a70g0s90: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.9, 2.5, 1.0]
datasharing a80g0s90: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.9, 2.5, 1.0]
datasharing a90g0s90: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 1.0, 2.5, 1.0]
datasharing a100g0s90: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 1.0, 2.5, 1.0]
datasharing a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
datasharing a10g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.2, 2.5, 1.0]
datasharing a20g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.3, 2.5, 1.0]
datasharing a30g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.4, 2.5, 1.0]
datasharing a40g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.6, 2.5, 1.0]
datasharing a50g0s100: state=[5, 1, 1, 0, 0, 0],  prices=[0.6, 0.1, 25.0, 1.0]
datasharing a60g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.8, 2.5, 1.0]
datasharing a70g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.9, 2.5, 1.0]
datasharing a80g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 0.9, 2.5, 1.0]
datasharing a90g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 1.0, 2.5, 1.0]
datasharing a100g0s100: state=[1, 3, 1, 0, 1, 1],  prices=[2.5, 1.0, 2.5, 1.0]
limitedmergers a70g0s30: state=[4, 1, 1, 0, 1, 0],  prices=[-0.4, -1.7, 25.0, 1.0]
limitedmergers a80g0s30: state=[3, 1, 1, 0, 1, 0],  prices=[-0.4, -1.7, 25.0, 1.0]
limitedmergers a90g0s30: iter=687
limitedmergers a20g0s40: state=[3, 1, 1, 0, 1, 0],  prices=[-0.7, -1.2, 25.0, 1.0]
limitedmergers a50g0s40: state=[1, 2, 1, 0, 1, 0],  prices=[-1.1, -0.9, 25.0, 1.0]
limitedmergers a60g0s40: state=[3, 1, 1, 0, 1, 0],  prices=[-0.3, -1.2, 25.0, 1.0]
limitedmergers a20g0s50: state=[1, 1, 1, 1, 0, 0],  prices=[6.7, 3.4, 5.2, 5.2]
limitedmergers a30g0s50: state=[1, 1, 1, 1, 0, 0],  prices=[7.7, 3.8, 4.5, 4.5]
limitedmergers a40g0s50: state=[1, 1, 1, 1, 0, 0],  prices=[8.6, 4.1, 4.8, 4.8]
limitedmergers a50g0s50: state=[1, 2, 1, 0, 1, 0],  prices=[-0.9, -0.7, 25.0, 1.0]
limitedmergers a60g0s50: state=[1, 2, 1, 0, 1, 0],  prices=[-0.9, -0.6, 25.0, 1.0]
limitedmergers a70g0s50: state=[1, 2, 1, 0, 1, 0],  prices=[-0.9, -0.5, 25.0, 1.0]
limitedmergers a80g0s50: state=[1, 2, 1, 0, 1, 0],  prices=[-0.9, -0.5, 25.0, 1.0]
limitedmergers a10g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[8.7, 3.3, 3.3, 16.4]
limitedmergers a20g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[10.3, 3.8, 4.9, 4.9]
limitedmergers a30g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[15.7, 5.0, 2.4, 2.4]
limitedmergers a40g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[17.2, 25.0, 0.0, 0.0]
limitedmergers a50g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[24.1, 25.0, 0.0, 0.0]
limitedmergers a60g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[30.1, 25.0, 0.0, 0.0]
limitedmergers a70g0s60: state=[1, 2, 1, 0, 1, 0],  prices=[-0.8, -0.3, 25.0, 1.0]
limitedmergers a80g0s60: state=[1, 1, 1, 1, 0, 0],  prices=[29.6, 25.0, 0.0, 0.0]
limitedmergers a10g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[26.7, 25.0, 0.0, 0.0]
limitedmergers a20g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[29.5, 25.0, 0.0, 0.0]
limitedmergers a30g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[27.2, 25.0, 0.0, 0.0]
