alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
1.0,0.95,1.0,0.0,1.0,4.0,400,0.1173,0.2211,0.0,0.0,0.0,0.0,0.91,2.342,3.252,0.0,0.0,0.0,1.0,2.346,3.346
1.0,0.95,1.0,0.0,1.0,5.0,200,-1.234,0.2524,0.4683,0.00848,0.0,0.0,2.303,0.4648,2.768,0.0,0.955,0.0,2.35,0.591,2.94
1.0,0.95,1.0,0.0,1.0,5.0,300,-5.164,0.6367,0.365,0.787,0.0,0.0,2.082,0.7554,2.838,0.0,0.899,0.0,2.258,0.7017,2.96
1.0,0.95,1.0,0.0,1.0,5.0,400,-6.016,0.6357,0.002172,0.877,0.0,0.0,0.3718,2.559,2.93,0.0,0.9224,0.0,2.297,0.6553,2.951
1.0,0.95,1.0,0.0,1.0,6.0,200,-1.555,0.2465,0.4294,0.00685,0.0,0.0,2.377,0.4119,2.787,0.0,0.984,0.0,2.46,0.4822,2.943
1.0,0.95,1.0,0.0,1.0,6.0,300,-5.582,0.6313,0.3193,0.839,0.0,0.0,2.21,0.6304,2.84,0.0,0.9478,0.0,2.395,0.5586,2.955
1.0,0.95,1.0,0.0,1.0,6.0,400,-6.59,0.6313,0.001174,0.9097,0.0,0.0,0.3162,2.615,2.932,0.0,0.963,0.0,2.422,0.5273,2.95
1.0,0.95,1.0,0.0,1.0,7.0,200,-1.769,0.2424,0.3972,0.005745,0.0,0.0,2.43,0.3726,2.803,0.0,0.992,0.0,2.525,0.425,2.951
1.0,0.95,1.0,0.0,1.0,7.0,300,-5.824,0.6294,0.284,0.869,0.0,0.0,2.299,0.5474,2.846,0.0,0.966,0.0,2.473,0.484,2.957
1.0,0.95,1.0,0.0,1.0,7.0,400,-6.992,0.63,0.0007434,0.9287,0.0,0.0,0.2751,2.658,2.934,0.0,0.9766,0.0,2.494,0.4602,2.955
1.0,0.95,1.0,0.0,1.0,8.0,200,-1.923,0.2396,0.3704,0.00493,0.0,0.0,2.475,0.341,2.814,0.0,0.9956,0.0,2.572,0.3853,2.957
1.0,0.95,1.0,0.0,1.0,8.0,300,-5.977,0.6284,0.2556,0.89,0.0,0.0,2.365,0.486,2.852,0.0,0.9746,0.0,2.53,0.433,2.96
1.0,0.95,1.0,0.0,1.0,8.0,400,-7.3,0.629,0.0005145,0.941,0.0,0.0,0.2435,2.691,2.936,0.0,0.983,0.0,2.545,0.414,2.959
1.0,0.95,1.0,0.0,1.0,9.0,200,-2.035,0.2374,0.3474,0.004303,0.0,0.0,2.51,0.3152,2.824,0.0,0.997,0.0,2.607,0.3545,2.963
