alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0,0.0,0.0
0.1,4.0,41,0.04407,0.3054,0.0,0.0,1.0,0.5557,1.694,2.25,0.0,0.0,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0,0.0,0.0
0.1,5.0,20,0.3574,0.3271,0.563,0.0361,0.3926,0.9556,1.092,2.047,0.0,0.0,0.0
0.1,5.0,21,0.588,0.001672,0.2544,0.1223,1.0,1.099,0.9336,2.031,0.0,0.0,0.0
0.1,5.0,30,-0.1608,0.5913,0.3794,0.11145,0.1725,0.6914,1.482,2.174,0.0,0.0,0.0
0.1,5.0,31,0.297,0.232,0.2167,1.24,1.0,0.7627,1.353,2.115,0.0,0.0,0.0
0.1,5.0,40,-0.09283,0.656,0.0,0.0,0.0,0.652,1.638,2.29,0.0,0.0,0.0
0.1,5.0,41,0.005672,0.3442,0.0,0.0,1.0,0.4382,1.768,2.205,0.0,0.0,0.0
0.1,5.0,43,-0.04337,0.6484,0.0,0.0,1.0,0.279,2.018,2.297,0.0,0.0,0.0
0.1,6.0,20,0.4182,0.2893,0.4688,0.0394,0.556,1.252,0.7393,1.991,0.6455,0.736,0.649
0.1,6.0,21,0.641,0.0004401,0.08124,0.0466,1.0,1.473,0.509,1.981,0.8086,0.922,0.813
0.1,6.0,30,-0.11926,0.5986,0.341,0.0556,0.121,0.631,1.507,2.137,0.0,0.0,0.0
0.1,6.0,31,0.2595,0.2333,0.07556,1.533,1.0,1.2295,0.7817,2.012,0.7705,0.879,0.775
0.1,6.0,40,-0.1505,0.664,0.0,0.0,0.0,0.5376,1.711,2.248,0.0,0.0,0.0
0.1,6.0,41,-0.5024,0.547,0.0175,1.544,1.0,0.7017,1.342,2.043,0.691,0.788,0.6943
0.1,6.0,43,-0.0745,0.6616,0.0,0.0,1.0,0.2126,2.037,2.25,0.0,0.0,0.0
0.1,7.0,20,0.4585,0.2388,0.38,0.01831,0.4348,1.367,0.6113,1.979,0.8994,0.962,0.9023
0.1,7.0,21,0.6694,0.000242,0.06015,0.03522,1.0,1.549,0.4421,1.991,0.909,0.972,0.912
0.1,7.0,30,-2.482,0.509,0.2603,1.055,0.5327,0.632,1.378,2.01,0.84,0.8984,0.8433
0.1,7.0,31,0.411,0.2299,0.05615,1.534,1.0,1.383,0.6323,2.016,0.8857,0.9478,0.889
0.1,7.0,40,-1.985,0.641,0.005516,0.8022,0.15,0.327,1.772,2.1,0.6626,0.709,0.665
0.1,7.0,41,-0.296,0.5044,0.0157,1.73,1.0,0.928,1.105,2.033,0.8257,0.8833,0.8286
0.1,7.0,43,-0.0958,0.677,0.0,0.0,1.0,0.1653,2.053,2.217,0.0,0.0,0.0
0.2,1.0,20,0.3887,0.0,1.334,0.0,0.0,1.492,1.649,3.143,0.0,0.0,0.0
0.2,1.0,21,0.3716,0.0,1.199,0.4866,1.0,1.174,1.725,2.898,0.0,0.0,0.0
0.2,1.0,30,0.442,0.0,0.6733,0.0,0.0,1.534,1.748,3.281,0.0,0.0,0.0
0.2,1.0,31,0.4014,0.0,0.6113,0.8877,1.0,1.188,1.838,3.027,0.0,0.0,0.0
0.2,1.0,40,0.442,0.0,0.0,0.0,0.0,1.583,1.831,3.414,0.0,0.0,0.0
0.2,1.0,41,0.3586,0.0,0.0,0.0,1.0,1.231,1.929,3.16,0.0,0.0,0.0
0.2,1.0,43,0.3792,0.0,0.0,0.0,1.0,1.165,2.258,3.424,0.0,0.0,0.0
0.2,2.0,20,0.261,0.3765,1.078,0.006542,0.03223,1.131,1.358,2.49,0.0,0.0,0.0
0.2,2.0,21,0.406,0.007996,0.7725,0.3398,1.0,0.989,1.388,2.377,0.0,0.0,0.0
0.2,2.0,30,0.1508,0.274,0.5557,0.0,0.0,1.135,1.483,2.617,0.0,0.0,0.0
0.2,2.0,31,0.238,0.2462,0.4282,1.012,1.0,0.902,1.584,2.486,0.0,0.0,0.0
0.2,2.0,40,0.1508,0.274,0.0,0.0,0.0,1.161,1.573,2.734,0.0,0.0,0.0
0.2,2.0,41,0.1495,0.259,0.0,0.0,1.0,0.895,1.704,2.6,0.0,0.0,0.0
0.2,2.0,43,0.162,0.2295,0.0,0.0,1.0,0.78,2.047,2.826,0.0,0.0,0.0
0.2,3.0,20,0.2776,0.376,0.8794,0.03296,0.2185,0.9966,1.314,2.31,0.0,0.0,0.0
0.2,3.0,21,0.4893,0.002625,0.516,0.2339,1.0,0.988,1.262,2.25,0.0,0.0,0.0
0.2,3.0,30,-0.01374,0.5435,0.4968,0.01086,0.01671,0.9473,1.508,2.455,0.0,0.0,0.0
0.2,3.0,31,0.2107,0.2312,0.3354,1.068,1.0,0.7637,1.591,2.355,0.0,0.0,0.0
0.2,3.0,40,-0.00588,0.4631,0.0,0.0,0.0,0.951,1.612,2.564,0.0,0.0,0.0
0.2,3.0,41,0.0476,0.3105,0.0,0.0,1.0,0.6904,1.764,2.453,0.0,0.0,0.0
0.2,3.0,43,0.02228,0.4326,0.0,0.0,1.0,0.504,2.105,2.61,0.0,0.0,0.0
0.2,4.0,20,0.3284,0.346,0.6772,0.04095,0.3613,0.975,1.247,2.223,0.0,0.0,0.0
0.2,4.0,21,0.563,0.003101,0.3362,0.1553,1.0,1.072,1.123,2.195,0.0,0.0,0.0
0.2,4.0,30,-0.1659,0.5835,0.435,0.0701,0.1015,0.782,1.587,2.37,0.0,0.0,0.0
0.2,4.0,31,0.259,0.2585,0.2566,1.114,1.0,0.7046,1.597,2.3,0.0,0.0,0.0
0.2,4.0,40,-0.1242,0.6245,0.0,0.0,0.0,0.771,1.708,2.479,0.0,0.0,0.0
