alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.3,3.0,21,0.514,0.006233,0.4722,0.2454,1.0,1.0625,1.336,2.398,0.0,0.0,0.0
0.3,3.0,30,-0.1227,0.569,0.4983,0.0,0.0,0.9385,1.673,2.611,0.0,0.0,0.0
0.3,3.0,31,0.182,0.279,0.318,1.421,1.0,0.7617,1.751,2.512,0.0,0.0,0.0
0.3,3.0,40,-0.1227,0.569,0.0,0.0,0.0,0.9375,1.781,2.719,0.0,0.0,0.0
0.3,3.0,41,-0.01634,0.4792,0.0,2.5,1.0,0.6646,1.94,2.605,0.0,0.0,0.0
0.3,3.0,43,-0.04843,0.545,0.0,0.0,1.0,0.4634,2.295,2.758,0.0,0.0,0.0
0.3,4.0,20,0.3345,0.3533,0.7534,0.0,0.0,0.9937,1.418,2.412,0.0,0.0,0.0
0.3,4.0,21,0.5957,0.002275,0.2847,0.1462,1.0,1.211,1.133,2.344,0.0,0.0,0.0
0.3,4.0,30,-0.2563,0.6274,0.4463,0.0,0.0,0.772,1.756,2.527,0.0,0.0,0.0
0.3,4.0,31,0.2563,0.2462,0.231,1.407,1.0,0.769,1.687,2.455,0.0,0.0,0.0
0.3,4.0,40,-0.2563,0.6274,0.0,0.0,0.0,0.738,1.893,2.63,0.0,0.0,0.0
0.3,4.0,41,-0.06854,0.4856,0.0007925,2.494,1.0,0.489,2.041,2.53,0.0,0.0,0.0
0.3,4.0,43,-1.911,0.4458,0.163,1.1875,1.0,0.07806,2.307,2.385,0.0,0.0,0.0
0.3,5.0,20,-0.01053,0.01584,0.933,0.0727,0.1427,0.985,0.7246,1.709,0.844,0.9907,0.848
0.3,5.0,21,0.667,0.0004346,0.0872,0.04987,1.0,1.6875,0.5923,2.28,0.8457,0.9927,0.85
0.3,5.0,30,-0.03958,0.08923,0.553,0.4841,0.473,1.126,0.759,1.885,0.8438,0.99,0.848
0.3,5.0,31,0.621,0.015366,0.07794,1.566,1.0,1.654,0.6436,2.297,0.8438,0.99,0.848
0.3,5.0,40,0.04367,0.2876,0.01697,2.104,1.0,1.318,0.9316,2.25,0.8438,0.99,0.848
0.3,5.0,41,0.01161,0.3716,0.01694,2.945,1.0,1.284,1.03,2.314,0.8433,0.9897,0.8477
0.3,5.0,43,-2.992,0.3447,0.0495,1.188,1.0,0.03017,2.283,2.314,0.8457,0.992,0.8496
0.3,6.0,20,-0.01399,0.01807,1.008,0.0903,0.17,1.084,0.6626,1.747,0.925,0.9917,0.9326
0.3,6.0,21,0.7046,0.0002145,0.06775,0.03973,1.0,1.786,0.508,2.295,0.925,0.9917,0.9326
0.3,6.0,30,-0.0428,0.08887,0.5845,0.5283,0.502,1.235,0.676,1.911,0.925,0.9917,0.9326
0.3,6.0,31,0.658,0.006817,0.05838,1.555,1.0,1.755,0.5503,2.305,0.925,0.9917,0.9326
0.3,6.0,40,0.0672,0.2646,0.01794,2.121,1.0,1.439,0.813,2.252,0.925,0.9917,0.9326
0.3,6.0,41,0.01548,0.3564,0.01773,2.996,1.0,1.4,0.917,2.318,0.925,0.991,0.932
0.3,6.0,43,-3.168,0.3513,0.03583,1.158,1.0,0.0289,2.295,2.324,0.925,0.9917,0.9326
0.3,7.0,20,-0.01689,0.01895,1.045,0.10065,0.1849,1.143,0.627,1.77,0.9546,0.994,0.96
0.3,7.0,21,0.734,0.0001225,0.04938,0.02913,1.0,1.8545,0.4514,2.307,0.955,0.9946,0.9604
0.3,7.0,30,-0.04886,0.0872,0.6,0.5522,0.5176,1.3,0.629,1.929,0.9546,0.994,0.96
0.3,7.0,31,0.6914,0.005444,0.04303,1.548,1.0,1.827,0.4883,2.316,0.955,0.994,0.9604
0.3,7.0,40,0.07,0.2489,0.01475,2.11,1.0,1.508,0.7505,2.258,0.9546,0.994,0.96
0.3,7.0,41,-0.01846,0.3477,0.014534,3.018,1.0,1.454,0.8696,2.324,0.9546,0.994,0.96
0.3,7.0,43,-3.305,0.345,0.02725,1.223,1.0,0.02307,2.309,2.332,0.955,0.9946,0.9604
0.3,8.0,20,-0.01819,0.01973,1.074,0.109,0.1971,1.189,0.5977,1.787,0.9697,0.996,0.9736
0.3,8.0,21,0.7573,7.623e-5,0.0373,0.02202,1.0,1.907,0.4092,2.316,0.9697,0.996,0.9736
0.3,8.0,30,-0.0491,0.0864,0.613,0.57,0.53,1.353,0.592,1.944,0.9697,0.996,0.9736
0.3,8.0,31,0.7197,0.004467,0.0328,1.543,1.0,1.883,0.4412,2.324,0.9697,0.996,0.9736
0.3,8.0,40,0.0838,0.239,0.01194,2.098,1.0,1.5625,0.7026,2.266,0.9697,0.996,0.9736
0.3,8.0,41,-0.02472,0.3423,0.01176,3.03,1.0,1.501,0.8296,2.33,0.9697,0.996,0.973
0.3,8.0,43,-3.406,0.3408,0.02113,1.266,1.0,0.01913,2.318,2.338,0.9697,0.996,0.9736
0.3,9.0,20,-0.01907,0.02039,1.098,0.11566,0.2068,1.227,0.574,1.801,0.978,0.997,0.981
0.3,9.0,21,0.7764,5.054e-5,0.02905,0.01714,1.0,1.948,0.3757,2.324,0.978,0.997,0.981
0.3,9.0,30,-0.04852,0.0863,0.622,0.5835,0.539,1.394,0.563,1.956,0.978,0.997,0.981
