alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly
0.2,6.0,31,-6.457,0.6475,0.0638,0.7524,0.9985,1.065,1.091,2.156,0.8535
0.2,6.0,40,-4.992,0.749,0.00814,1.091,0.7744,0.3394,1.844,2.184,0.85
0.2,6.0,41,-7.645,0.8555,0.01576,1.235,0.994,0.3308,1.835,2.166,0.8555
0.2,6.0,43,-3.76,0.852,0.01614,1.512,1.0,0.04678,2.129,2.176,0.861
0.2,7.0,20,0.503,0.233,0.3154,0.01741,0.4849,1.578,0.5303,2.11,0.9395
0.2,7.0,21,0.709,0.0006833,0.05066,0.01154,1.0,1.692,0.4456,2.139,0.9395
0.2,7.0,30,-4.27,0.636,0.1885,0.9355,0.572,0.5947,1.543,2.137,0.919
0.2,7.0,31,-5.0,0.6367,0.0466,0.7583,0.999,1.233,0.928,2.162,0.9233
0.2,7.0,40,-5.312,0.634,0.007507,1.171,0.8237,0.3428,1.839,2.182,0.918
0.2,7.0,41,-7.016,0.636,0.01359,1.33,0.9956,0.3428,1.825,2.168,0.922
0.2,7.0,43,-3.314,0.6284,0.01384,1.6455,1.0,0.03485,2.143,2.178,0.924
0.2,8.0,20,0.5156,0.2375,0.3086,0.01747,0.4783,1.633,0.4863,2.12,0.96
0.2,8.0,21,0.7183,0.00525,0.03925,0.00975,1.0,1.745,0.4026,2.146,0.96
0.2,8.0,30,-4.438,0.639,0.1793,0.9478,0.5425,0.5947,1.548,2.143,0.9478
0.2,8.0,31,-3.928,0.638,0.03595,0.758,0.999,1.311,0.8564,2.168,0.9507
0.2,8.0,40,-5.52,0.708,0.00663,1.21,0.84,0.338,1.846,2.184,0.945
0.2,8.0,41,-7.203,0.7603,0.0116,1.382,0.996,0.3396,1.832,2.172,0.948
0.2,8.0,43,-3.744,0.757,0.01179,1.726,1.0,0.02779,2.152,2.18,0.949
0.2,9.0,20,0.547,0.2435,0.2168,0.01622,0.4714,1.68,0.4478,2.127,0.9746
0.2,9.0,21,0.736,0.004875,0.03128,0.00814,1.0,1.787,0.3682,2.154,0.9746
0.2,9.0,30,-4.117,0.579,0.1462,0.521,0.674,0.8486,1.289,2.139,0.9707
0.2,9.0,31,-2.82,0.6367,0.0279,0.7607,1.0,1.765,0.4001,2.164,0.974
0.2,9.0,40,-5.47,0.7,0.0088,1.089,0.911,0.4924,1.681,2.172,0.9683
0.2,9.0,41,-4.508,0.772,0.00985,1.42,0.999,1.002,1.168,2.17,0.973
0.2,9.0,43,-3.98,0.7676,0.00993,1.78,1.0,0.02306,2.156,2.18,0.9697
0.3,1.0,20,0.375,0.0,1.354,0.0,0.0,1.534,1.737,3.271,0.0
0.3,1.0,21,0.002764,0.3154,1.289,0.0,1.0,1.357,1.848,3.205,0.0
0.3,1.0,30,0.4028,0.0,0.6733,0.0,0.0,1.571,1.843,3.414,0.0
0.3,1.0,31,-0.1014,0.665,0.578,0.0,1.0,1.406,1.951,3.357,0.0
0.3,1.0,40,0.4028,0.0,0.0,0.0,0.0,1.62,1.926,3.547,0.0
0.3,1.0,41,-0.0457,0.521,0.0,0.0,1.0,1.435,2.049,3.484,0.0
0.3,1.0,43,0.3477,0.0,0.0,0.0,1.0,1.193,2.383,3.576,0.0
