alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.2,5.0,43,-0.10345,0.664,0.0,0.0,1.0,0.2426,2.184,2.426,0.0,0.0,0.0
0.2,6.0,20,0.4414,0.2651,0.3855,0.05157,0.432,1.472,0.622,2.094,0.831,0.912,0.838
0.2,6.0,21,0.6704,0.0003655,0.0749,0.0436,1.0,1.617,0.5103,2.127,0.8335,0.915,0.8403
0.2,6.0,30,-3.188,0.5283,0.2527,1.08,0.5684,0.5356,1.6045,2.139,0.757,0.831,0.763
0.2,6.0,31,0.3289,0.2316,0.06757,1.557,1.0,1.393,0.7646,2.158,0.7993,0.8774,0.8057
0.2,6.0,40,-3.229,0.61,0.01145,1.666,0.7676,0.318,1.884,2.203,0.7036,0.7725,0.7095
0.2,6.0,41,-0.422,0.538,0.01837,2.879,1.0,0.8887,1.292,2.182,0.736,0.808,0.7417
0.2,6.0,43,-0.1328,0.685,0.0,0.0,1.0,0.1764,2.205,2.38,0.0,0.0,0.0
0.2,7.0,20,0.4824,0.2666,0.3142,0.0544,0.427,1.548,0.557,2.105,0.933,0.9824,0.9355
0.2,7.0,21,0.6997,0.0001788,0.05176,0.03049,1.0,1.692,0.4458,2.139,0.936,0.986,0.9385
0.2,7.0,30,-2.408,0.5513,0.234,0.8345,0.734,0.732,1.417,2.15,0.832,0.876,0.834
0.2,7.0,31,0.4436,0.229,0.04865,1.551,1.0,1.533,0.6274,2.16,0.919,0.968,0.922
0.2,7.0,40,-4.316,0.568,0.00685,1.699,0.7344,0.2832,1.9,2.184,0.915,0.964,0.918
0.2,7.0,41,-1.863,0.477,0.01421,2.998,1.0,0.4248,1.742,2.166,0.9185,0.9673,0.921
0.2,7.0,43,-2.977,0.4158,0.03146,1.327,1.0,0.01605,2.146,2.162,0.9307,0.98,0.933
0.2,8.0,20,0.4988,0.2683,0.336,0.06226,0.4534,1.593,0.5273,2.121,0.95,0.9824,0.9526
0.2,8.0,21,0.7227,0.00011253,0.03998,0.0236,1.0,1.744,0.4028,2.146,0.958,0.99,0.96
0.2,8.0,30,-2.08,0.5596,0.2186,0.797,0.811,0.8813,1.273,2.154,0.8794,0.909,0.8813
0.2,8.0,31,0.5117,0.228,0.0381,1.546,1.0,1.616,0.5503,2.166,0.9463,0.9785,0.9487
0.2,8.0,40,-4.668,0.56,0.005905,1.726,0.746,0.2703,1.915,2.186,0.9424,0.9746,0.945
0.2,8.0,41,-2.072,0.4617,0.01201,3.014,1.0,0.392,1.778,2.172,0.9453,0.9775,0.9478
0.2,8.0,43,-3.078,0.4143,0.02434,1.346,1.0,0.013626,2.154,2.168,0.9536,0.986,0.956
0.2,9.0,20,0.534,0.25,0.3687,0.05762,0.4517,1.643,0.488,2.13,0.967,0.9897,0.9688
0.2,9.0,21,0.741,6.5e-5,0.03177,0.01877,1.0,1.787,0.3684,2.154,0.974,0.9976,0.976
0.2,9.0,30,-1.505,0.4019,0.1981,0.7563,0.8213,1.138,1.008,2.145,0.9424,0.9653,0.945
0.2,9.0,31,0.7134,0.002018,0.0279,1.541,1.0,1.767,0.3972,2.164,0.9736,0.997,0.9756
0.2,9.0,40,-2.754,0.4102,0.01038,2.035,0.9893,0.6064,1.551,2.156,0.946,0.9683,0.9478
0.2,9.0,41,-0.494,0.2257,0.01003,3.033,1.0,1.177,0.994,2.17,0.972,0.9956,0.974
0.2,9.0,43,-3.158,0.4133,0.01936,1.359,1.0,0.01183,2.162,2.174,0.9707,0.9937,0.9727
0.3,1.0,20,0.375,0.0,1.354,0.0,0.0,1.534,1.737,3.271,0.0,0.0,0.0
0.3,1.0,21,0.367,0.0,1.201,0.705,1.0,1.211,1.816,3.027,0.0,0.0,0.0
0.3,1.0,30,0.4028,0.0,0.6733,0.0,0.0,1.571,1.843,3.414,0.0,0.0,0.0
0.3,1.0,31,0.3708,0.0,0.6,1.604,1.0,1.219,1.94,3.158,0.0,0.0,0.0
