alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.2,2.0,20,0.2598,0.3787,1.083,0.0,0.0,1.137,1.357,2.494,0.0,0.0,0.0
0.2,2.0,21,0.406,0.007996,0.7725,0.4197,1.0,0.989,1.388,2.377,0.0,0.0,0.0
0.2,2.0,30,0.1508,0.274,0.5557,0.0,0.0,1.135,1.483,2.617,0.0,0.0,0.0
0.2,2.0,31,0.238,0.2462,0.4282,1.488,1.0,0.902,1.584,2.486,0.0,0.0,0.0
0.2,2.0,40,0.1508,0.274,0.0,0.0,0.0,1.161,1.573,2.734,0.0,0.0,0.0
0.2,2.0,41,0.1495,0.259,0.0,2.5,1.0,0.895,1.704,2.6,0.0,0.0,0.0
0.2,2.0,43,0.162,0.2295,0.0,0.0,1.0,0.78,2.047,2.826,0.0,0.0,0.0
0.2,3.0,20,0.2659,0.3628,0.93,0.001143,0.008255,1.014,1.325,2.34,0.0,0.0,0.0
0.2,3.0,21,0.4893,0.002625,0.516,0.27,1.0,0.988,1.262,2.25,0.0,0.0,0.0
0.2,3.0,30,-0.00588,0.4631,0.4983,0.0,0.0,0.952,1.505,2.457,0.0,0.0,0.0
0.2,3.0,31,0.2107,0.2312,0.3354,1.432,1.0,0.7637,1.591,2.355,0.0,0.0,0.0
0.2,3.0,40,-0.00588,0.4631,0.0,0.0,0.0,0.951,1.612,2.564,0.0,0.0,0.0
0.2,3.0,41,0.0476,0.3105,0.0,2.5,1.0,0.6904,1.764,2.453,0.0,0.0,0.0
0.2,3.0,43,0.02228,0.4326,0.0,0.0,1.0,0.504,2.105,2.61,0.0,0.0,0.0
0.2,4.0,20,0.3115,0.3745,0.772,0.005714,0.0597,0.956,1.304,2.26,0.0,0.0,0.0
0.2,4.0,21,0.563,0.00308,0.3362,0.1719,1.0,1.072,1.123,2.195,0.0,0.0,0.0
0.2,4.0,30,-0.1315,0.6357,0.4448,0.00959,0.011215,0.8022,1.574,2.377,0.0,0.0,0.0
